Keyword,Mã HS,Dòng SP,Loại,Lớp 1,Lớp 2,Cluster_ID
"kính, trí xây dựng, trang trí xây, miếng trang trí, mosaic trang trí, phẩm mosaic trang, sản phẩm mosaic, sản xuất sản, xuất sản phẩm, trang trí thủy, trí thủy tinh, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Miếng Kính Phát Tán,69
"mục tkn, điện thoại di, thoại di động, viền trang trí, kích thước 62x20, trí camera điện, trang trí camera, thước 62x20 70x57, camera điện thoại, tạm mục, di động chất, động chất liệu, tkn 101825745450 a12, ngày 19 01, a12 ngày 19",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Mặt Kính Điện Tử,22
"kính, tấm, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, bảo vệ",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Tấm Kính Bảo Vệ,50
"tấm kính, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, kính phản xạ, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, hình ảnh",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Tấm Chắn Tia UV,54
"sx chai, chai tỏa hương, hương liệu sx, chứa hương liệu, rỗng chứa hương, hình, diffuser, chứa hliệu sx, rỗng chứa hliệu, tấm kính bộ, bộ phận quét, vessel dia50xh122mm fm, kính bộ phận, dia50xh122mm fm sz, xuất lito technology",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Mô Hình Chai,55
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, động chất liệu, kích thước 62x20, trí camera điện, thước 62x20 70x57, di động chất, camera điện thoại, điện thoại di, thoại di động, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Lọ Thủy Tinh Rỗng,59
"điện thoại di, thoại di động, viền trang trí, kích thước 62x20, trí camera điện, trang trí camera, thước 62x20 70x57, camera điện thoại, di động chất, động chất liệu, thủy tinh kích, tinh kích thước, liệu thủy tinh, chất liệu thủy, kính",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Thấu Kính Điện Thoại,61
"buồng dòng chảy, dòng chảy quang, bị điều khiển, khiển tự động, tự động mạ, học 10mm optical, chảy quang học, điều khiển tự, niken starline dash, động mạ niken, flow cell 10mm, starline dash nf, optical flow cell, thiết bị điều, quang học 10mm",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Dây Dẫn Quang Học,63
"kính, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, ánh sáng máy, in kích thước, máy in kích, kích thước 298, thước 298 15, tấm, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Kính Xem Lượng Xăng,27
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, động chất liệu, kích thước 62x20, trí camera điện, thước 62x20 70x57, di động chất, camera điện thoại, điện thoại di, thoại di động, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Băng Tải Thủy Tinh,37
